startup_name,founded_year,country,industry,funding_stage,total_funding_millions,number_employees,annual_revenue_millions,valuation_billions,success_score,acquired,ipo,customers_millions,tech_stack,social_media_followers,cluster,revenue_per_employee,funding_per_employee,valuation_per_employee,revenue_per_customer,funding_per_customer,valuation_per_customer,funding_to_revenue,valuation_to_revenue,revenue_to_funding,followers_per_customer
Startup_1,2009-01-01,Canada,Healthcare,Series A,269.0,3047.0,104.0,46.11,5.0,No,No,43.0,"Java, Spring",4158814.0,2,0.03412073490813648,0.08825459317585302,15.127952755905511,2.3636363636363638,6.113636363636363,1047.9545454545455,2.5619047619047617,439.14285714285717,0.3851851851851852,94518.5
Startup_2,2004-01-01,UK,Healthcare,IPO,40.0,630.0,431.0,33.04,1.0,No,Yes,64.0,"Node.js, React",4063014.0,0,0.6830427892234548,0.06339144215530904,52.36133122028526,6.630769230769231,0.6153846153846154,508.3076923076923,0.09259259259259259,76.48148148148148,10.512195121951219,62507.907692307694
Startup_3,2018-01-01,USA,Healthcare,Seed,399.0,2475.0,375.0,15.79,8.0,No,No,74.0,"PHP, Laravel",3449855.0,3,0.15145395799676897,0.1611470113085622,6.3772213247172855,5.0,5.32,210.53333333333333,1.0611702127659575,41.994680851063826,0.9375,45998.066666666666
Startup_4,2014-01-01,France,Tech,Seed,404.0,1011.0,907.0,17.12,7.0,Yes,Yes,26.0,"Python, AI",630421.0,0,0.8962450592885376,0.39920948616600793,16.91699604743083,33.592592592592595,14.962962962962964,634.074074074074,0.44493392070484583,18.854625550660792,2.2395061728395063,23348.925925925927
Startup_5,2006-01-01,Japan,Energy,Series C,419.0,3917.0,280.0,4.39,6.0,Yes,Yes,30.0,"Node.js, React",365956.0,2,0.07146503318019398,0.10694231750893313,1.1204696273608985,9.03225806451613,13.516129032258064,141.61290322580646,1.491103202846975,15.622775800711743,0.6666666666666666,11805.032258064517
Startup_6,2017-01-01,UK,FinTech,Series B,468.0,172.0,430.0,34.16,9.0,No,No,88.0,"Node.js, React",2691852.0,3,2.485549132947977,2.7052023121387285,197.45664739884393,4.831460674157303,5.258426966292135,383.82022471910113,1.08584686774942,79.25754060324826,0.9168443496801706,30245.52808988764
Startup_7,2014-01-01,China,Gaming,Series C,166.0,2614.0,548.0,16.55,7.0,Yes,No,88.0,"Node.js, React",2564422.0,1,0.2095602294455067,0.06347992351816444,6.32887189292543,6.157303370786517,1.8651685393258426,185.95505617977528,0.302367941712204,30.145719489981786,3.281437125748503,28813.73033707865
Startup_8,2018-01-01,Australia,EdTech,Series B,261.0,747.0,73.0,0.17,9.0,No,Yes,62.0,"Node.js, React",4344319.0,3,0.09759358288770054,0.34893048128342247,0.22727272727272727,1.1587301587301588,4.142857142857143,2.6984126984126986,3.527027027027027,2.2972972972972974,0.2786259541984733,68957.44444444444
Startup_9,2006-01-01,Canada,AI,Series B,172.0,4387.0,324.0,1.94,9.0,Yes,Yes,90.0,"C++, ML",2274371.0,1,0.07383773928896992,0.03919781221513218,0.4421148587055606,3.5604395604395602,1.89010989010989,21.318681318681318,0.5292307692307693,5.969230769230769,1.8728323699421965,24993.08791208791
Startup_10,2004-01-01,USA,E-commerce,Series A,113.0,873.0,925.0,11.22,8.0,No,No,63.0,"Java, Spring",3169624.0,0,1.0583524027459954,0.12929061784897025,12.837528604118994,14.453125,1.765625,175.3125,0.12203023758099352,12.116630669546437,8.114035087719298,49525.375
Startup_11,2011-01-01,Brazil,Gaming,Series B,42.0,4233.0,12.0,38.93,6.0,Yes,No,21.0,"Java, Spring",3454684.0,2,0.002834199338686821,0.009919697685403874,9.194615021256496,0.5454545454545454,1.9090909090909092,1769.5454545454545,3.230769230769231,2994.6153846153848,0.27906976744186046,157031.0909090909
Startup_12,2020-01-01,UK,Energy,Series A,346.0,4704.0,853.0,22.84,1.0,Yes,Yes,3.0,"Java, Spring",4915500.0,2,0.18129649309245482,0.07353878852284804,4.8544102019128585,213.25,86.5,5710.0,0.405152224824356,26.74473067915691,2.4582132564841497,1228875.0
Startup_13,2002-01-01,France,EdTech,IPO,134.0,4347.0,752.0,36.99,2.0,Yes,No,75.0,"Node.js, React",3600172.0,2,0.17295308187672492,0.030818767249310028,8.507359705611776,9.894736842105264,1.763157894736842,486.7105263157895,0.17795484727755645,49.123505976095615,5.57037037037037,47370.68421052631
Startup_14,2022-01-01,Canada,Gaming,Series A,71.0,1234.0,334.0,3.7,3.0,Yes,No,56.0,"Node.js, React",174818.0,0,0.2704453441295547,0.05748987854251012,2.9959514170040484,5.859649122807017,1.2456140350877194,64.91228070175438,0.21194029850746268,11.044776119402986,4.638888888888889,3066.9824561403507
Startup_15,2004-01-01,Australia,EdTech,Series B,290.0,2773.0,361.0,32.66,1.0,Yes,No,45.0,"Python, AI",39240.0,2,0.13013698630136986,0.10454217736121124,11.773612112472962,7.8478260869565215,6.304347826086956,709.9999999999999,0.8011049723756906,90.22099447513811,1.2405498281786942,853.0434782608696
Startup_16,2017-01-01,India,Gaming,Series C,177.0,3585.0,576.0,28.47,5.0,Yes,Yes,37.0,"Node.js, React",2022069.0,1,0.16062465142219742,0.04935861684327942,7.939208031232571,15.157894736842104,4.657894736842105,749.2105263157895,0.30675909878682844,49.341421143847484,3.235955056179775,53212.34210526316
Startup_17,2017-01-01,France,E-commerce,IPO,183.0,1968.0,95.0,27.29,5.0,Yes,No,33.0,"PHP, Laravel",828711.0,3,0.04824784154393093,0.09294057897409853,13.859827323514475,2.7941176470588234,5.382352941176471,802.6470588235294,1.90625,284.2708333333333,0.5163043478260869,24373.852941176472
Startup_18,2010-01-01,India,FinTech,Series C,427.0,4362.0,668.0,32.54,9.0,Yes,No,2.0,"Node.js, React",2016476.0,1,0.1531056612422645,0.09786843914737565,7.458170983268393,222.66666666666666,142.33333333333334,10846.666666666666,0.6382660687593423,48.639760837070256,1.560747663551402,672158.6666666666
Startup_19,2020-01-01,India,Energy,Series C,267.0,995.0,105.0,42.96,1.0,No,Yes,18.0,"Java, Spring",1292825.0,2,0.10542168674698796,0.2680722891566265,43.13253012048193,5.526315789473684,14.052631578947368,2261.0526315789475,2.518867924528302,405.2830188679245,0.3917910447761194,68043.42105263157
Startup_20,2008-01-01,Japan,Gaming,IPO,156.0,1307.0,834.0,19.75,7.0,No,No,71.0,"Python, AI",3548884.0,0,0.6376146788990825,0.11926605504587157,15.099388379204893,11.583333333333334,2.1666666666666665,274.30555555555554,0.18682634730538922,23.652694610778443,5.312101910828026,49290.055555555555
Startup_21,2001-01-01,Australia,FinTech,Series A,441.0,470.0,253.0,5.67,6.0,Yes,Yes,63.0,"Node.js, React",622784.0,3,0.5371549893842887,0.9363057324840764,12.038216560509554,3.953125,6.890625,88.59375,1.736220472440945,22.322834645669293,0.5723981900452488,9731.0
Startup_22,2011-01-01,France,AI,Series C,344.0,1517.0,143.0,13.32,9.0,Yes,Yes,17.0,"PHP, Laravel",3013055.0,3,0.09420289855072464,0.22661396574440051,8.774703557312254,7.944444444444445,19.11111111111111,740.0,2.388888888888889,92.5,0.4144927536231884,167391.94444444444
Startup_23,2016-01-01,UK,FinTech,Series C,173.0,4242.0,763.0,39.2,7.0,Yes,No,3.0,"C++, ML",4466664.0,1,0.17982559509780816,0.04077303794485034,9.23874617016262,190.75,43.25,9800.0,0.22643979057591623,51.30890052356021,4.385057471264368,1116666.0
Startup_24,2009-01-01,USA,AI,Seed,292.0,982.0,701.0,35.2,6.0,No,Yes,58.0,"PHP, Laravel",2009476.0,0,0.7131230925737538,0.2970498474059003,35.808748728382504,11.88135593220339,4.9491525423728815,596.6101694915254,0.41595441595441596,50.142450142450144,2.3924914675767917,34058.91525423729
Startup_25,2001-01-01,Brazil,E-commerce,Seed,94.0,2614.0,858.0,13.86,2.0,No,No,67.0,"Python, AI",1892546.0,0,0.32810707456978966,0.03594646271510516,5.30019120458891,12.617647058823529,1.3823529411764706,203.8235294117647,0.10942956926658906,16.135040745052386,9.031578947368422,27831.558823529413
Startup_26,2019-01-01,Australia,Gaming,Seed,15.0,4449.0,390.0,17.82,9.0,No,Yes,64.0,"Node.js, React",3597210.0,1,0.08764044943820225,0.0033707865168539327,4.004494382022472,6.0,0.23076923076923078,274.15384615384613,0.03836317135549872,45.57544757033248,24.375,55341.692307692305
Startup_27,2009-01-01,Australia,EdTech,Series B,281.0,929.0,148.0,16.18,4.0,Yes,No,31.0,"Python, AI",1931102.0,3,0.15913978494623657,0.3021505376344086,17.397849462365592,4.625,8.78125,505.625,1.8859060402684564,108.59060402684564,0.524822695035461,60346.9375
Startup_28,2007-01-01,China,AI,Series B,318.0,3707.0,145.0,40.77,7.0,No,Yes,58.0,"PHP, Laravel",4823603.0,3,0.03910463861920173,0.08576051779935275,10.995145631067961,2.457627118644068,5.389830508474576,691.0169491525423,2.1780821917808217,279.24657534246575,0.45454545454545453,81755.98305084746
Startup_29,2015-01-01,Germany,Gaming,Seed,54.0,3489.0,348.0,1.89,2.0,Yes,No,73.0,"Python, AI",1831303.0,2,0.0997134670487106,0.015472779369627506,0.5415472779369628,4.702702702702703,0.7297297297297297,25.54054054054054,0.15472779369627507,5.415472779369628,6.327272727272727,24747.337837837837
Startup_30,2018-01-01,France,Energy,Seed,170.0,3377.0,96.0,49.77,7.0,Yes,No,25.0,"Python, AI",4378403.0,3,0.028419182948490232,0.05032563647128478,14.733570159857905,3.6923076923076925,6.538461538461538,1914.2307692307693,1.7525773195876289,513.0927835051547,0.5614035087719298,168400.11538461538
Startup_31,2007-01-01,Brazil,Gaming,Series A,243.0,3292.0,987.0,45.29,5.0,No,Yes,4.0,"Java, Spring",2578332.0,1,0.29972669298511995,0.07379289401761312,13.753416337686001,197.4,48.6,9058.0,0.24595141700404857,45.840080971659916,4.045081967213115,515666.4
Startup_32,2016-01-01,Canada,FinTech,Series A,296.0,1705.0,118.0,38.13,2.0,No,No,1.0,"Node.js, React",2501035.0,2,0.06916764361078546,0.1735052754982415,22.35052754982415,59.0,148.0,19065.0,2.4873949579831933,320.4201680672269,0.39730639730639733,1250517.5
Startup_33,2021-01-01,Germany,Energy,Series B,355.0,4799.0,792.0,31.14,4.0,No,Yes,73.0,"Node.js, React",1137140.0,1,0.165,0.07395833333333333,6.4875,10.702702702702704,4.797297297297297,420.81081081081084,0.44766708701134933,39.26860025220681,2.2247191011235956,15366.756756756757
Startup_34,2016-01-01,Australia,FinTech,Series B,309.0,396.0,347.0,22.09,8.0,No,Yes,93.0,"Python, AI",3776319.0,3,0.8740554156171285,0.7783375314861462,55.642317380352644,3.6914893617021276,3.2872340425531914,235.0,0.8879310344827587,63.47701149425287,1.1193548387096774,40173.60638297872
Startup_35,2009-01-01,Germany,EdTech,Series A,38.0,3543.0,734.0,22.36,5.0,No,No,40.0,"Java, Spring",591983.0,1,0.20711060948081264,0.01072234762979684,6.309255079006772,17.902439024390244,0.926829268292683,545.3658536585366,0.05170068027210884,30.421768707482993,18.82051282051282,14438.609756097561
Startup_36,2010-01-01,Canada,E-commerce,Seed,251.0,3790.0,194.0,20.23,5.0,Yes,No,71.0,"Python, AI",3979306.0,2,0.051173832761804275,0.06620944341862306,5.336322869955157,2.6944444444444446,3.486111111111111,280.97222222222223,1.2871794871794873,103.74358974358974,0.7698412698412699,55268.13888888889
