startup_name,founded_year,country,continent,industry,funding_stage,funding_stage_group,size_employees,size_revenue,size_funding,size_valuation,tech_stack,total_funding_millions,number_employees,annual_revenue_millions,valuation_billions,customers_millions,social_media_followers,revenue_per_employee,funding_per_employee,valuation_per_employee,revenue_per_customer,funding_per_customer,valuation_per_customer,funding_to_revenue,valuation_to_revenue,revenue_to_funding,followers_per_customer,success_score,acquired,ipo,cluster,ratio_cluster_new,ratio_pca1_new,ratio_pca2_new
Startup_1,2009-01-01,Canada,North America,Healthcare,Series A,Growth Stage,Large,Low,High,High,"Java, Spring",269.0,3047.0,104.0,46.11,43.0,4158814.0,0.03412073490813648,0.08825459317585302,15.127952755905511,2.3636363636363638,6.113636363636363,1047.9545454545455,2.5619047619047617,439.14285714285717,0.3851851851851852,94518.5,5.0,0,0,4,1,-0.36734100542836573,-0.24849858322897864
Startup_2,2004-01-01,UK,Europe,Healthcare,IPO,Late Stage,Small,Medium,Low,High,"Node.js, React",40.0,630.0,431.0,33.04,64.0,4063014.0,0.6830427892234548,0.06339144215530904,52.36133122028526,6.630769230769231,0.6153846153846154,508.3076923076923,0.09259259259259259,76.48148148148148,10.512195121951219,62507.907692307694,1.0,0,1,1,1,-0.6843488997608062,-0.06920210658542367
Startup_3,2018-01-01,USA,North America,Healthcare,Seed,Early Stage,Medium,Medium,High,Medium,"PHP, Laravel",399.0,2475.0,375.0,15.79,74.0,3449855.0,0.15145395799676897,0.1611470113085622,6.3772213247172855,5.0,5.32,210.53333333333333,1.0611702127659575,41.994680851063826,0.9375,45998.066666666666,8.0,0,0,1,1,-0.6966737428871993,-0.22985896728106028
Startup_4,2014-01-01,France,Europe,Tech,Seed,Early Stage,Small,High,High,Medium,"Python, AI",404.0,1011.0,907.0,17.12,26.0,630421.0,0.8962450592885376,0.39920948616600793,16.91699604743083,33.592592592592595,14.962962962962964,634.074074074074,0.44493392070484583,18.854625550660792,2.2395061728395063,23348.925925925927,7.0,1,1,4,1,-0.058587644688318105,-0.023501595844500664
Startup_5,2006-01-01,Japan,Asia,Energy,Series C,Growth Stage,Large,Medium,High,Low,"Node.js, React",419.0,3917.0,280.0,4.39,30.0,365956.0,0.07146503318019398,0.10694231750893313,1.1204696273608985,9.03225806451613,13.516129032258064,141.61290322580646,1.491103202846975,15.622775800711743,0.6666666666666666,11805.032258064517,6.0,1,1,4,1,-0.5487034671092506,-0.26921173909904855
Startup_6,2017-01-01,UK,Europe,FinTech,Series B,Growth Stage,Small,Medium,High,High,"Node.js, React",468.0,172.0,430.0,34.16,88.0,2691852.0,2.485549132947977,2.7052023121387285,197.45664739884393,4.831460674157303,5.258426966292135,383.82022471910113,1.08584686774942,79.25754060324826,0.9168443496801706,30245.52808988764,9.0,0,0,1,1,-0.6870502560720645,1.3211360397279086
Startup_7,2014-01-01,China,Asia,Gaming,Series C,Growth Stage,Large,High,Medium,Medium,"Node.js, React",166.0,2614.0,548.0,16.55,88.0,2564422.0,0.2095602294455067,0.06347992351816444,6.32887189292543,6.157303370786517,1.8651685393258426,185.95505617977528,0.302367941712204,30.145719489981786,3.281437125748503,28813.73033707865,7.0,1,0,1,1,-0.8225815225810104,-0.24861438962705867
Startup_8,2018-01-01,Australia,Oceania,EdTech,Series B,Growth Stage,Small,Low,High,Low,"Node.js, React",261.0,747.0,73.0,0.17,62.0,4344319.0,0.09759358288770054,0.34893048128342247,0.22727272727272727,1.1587301587301588,4.142857142857143,2.6984126984126986,3.527027027027027,2.2972972972972974,0.2786259541984733,68957.44444444444,9.0,0,1,1,1,-0.7606663790541863,-0.19880194754413716
Startup_9,2006-01-01,Canada,North America,AI,Series B,Growth Stage,Large,Medium,Medium,Low,"C++, ML",172.0,4387.0,324.0,1.94,90.0,2274371.0,0.07383773928896992,0.03919781221513218,0.4421148587055606,3.5604395604395602,1.89010989010989,21.318681318681318,0.5292307692307693,5.969230769230769,1.8728323699421965,24993.08791208791,9.0,1,1,1,1,-0.9040588372832379,-0.2904167245090144
Startup_10,2004-01-01,USA,North America,E-commerce,Series A,Growth Stage,Small,High,Low,Low,"Java, Spring",113.0,873.0,925.0,11.22,63.0,3169624.0,1.0583524027459954,0.12929061784897025,12.837528604118994,14.453125,1.765625,175.3125,0.12203023758099352,12.116630669546437,8.114035087719298,49525.375,8.0,0,0,1,1,-0.675364760980228,-0.0866261029885718
